name,id,link,stueckelung,coupon,anzahlZinstermine,land,faelligkeit,kurs,boerse,letzterZinstermin,kaufpreis,couponRendite
Opus-Chartered Issuances S.A.,DE000A281NZ6,https://www.finanzen.net/anleihen/a281nz-opus-chartered-issuances-anleihe,1000,8.7,1,Luxemburg,31-12-2024,100,Deutschland,23-11-2023,1029.556164,0.084502
TK Elevator Midco GmbH,XS2199597613,https://www.finanzen.net/anleihen/a3e45a-tk-elevator-midco-anleihe,1000,8.692,4,Deutschland,15-07-2027,96.86,Tradegate,15-01-2024,985.507726,0.088198
PCF GmbH,XS2333302052,https://www.finanzen.net/anleihen/a3h3k6-pcf-anleihe,1000,8.692,4,Deutschland,15-04-2026,75.97,Hannover,15-01-2024,776.607726,0.111923
Deuce FinCo PLC,XS2351480640,https://www.finanzen.net/anleihen/a3ksgb-deuce-finco-anleihe,1000,8.69,4,GB,15-06-2027,100.35,Stuttgart,15-03-2024,1006.118904,0.086372
IPD 3 B.V.,XS2631199168,https://www.finanzen.net/anleihen/a3ljyu-ipd-3-bv-anleihe,1000,8.69,4,Niederlande,15-06-2028,100.5,Baader Bank,15-03-2024,1007.618904,0.086243
Cullinan Holdco SCSp,XS2397354015,https://www.finanzen.net/anleihen/a3kxhy-cullinan-holdco-scsp-anleihe,1000,8.682,4,Luxemburg,15-10-2026,92.01,Quotrix,17-01-2024,936.512548,0.092706
Cheplapharm Arzneimittel GmbH,XS2618840974,https://www.finanzen.net/anleihen/a351tf-cheplapharm-arzneimittel-anleihe,1000,8.651,4,Deutschland,15-05-2030,100.8,Quotrix,15-02-2024,1017.480548,0.085024
BURGER KING France SAS,XS2403031912,https://www.finanzen.net/anleihen/a3kx7q-burger-king-france-sas-anleihe,1000,8.647,4,Frankreich,02-11-2026,99.71,Quotrix,01-02-2024,1009.892822,0.085623
MBH Bank Nyrt.,XS2701655677,https://www.finanzen.net/anleihen/a3lpyy-mbh-bank-nyrt-anleihe,1000,8.625,1,Ungarn,19-10-2027,105.22,München,19-09-2023,1096.860959,0.078633
PLT VII Finance S.à.r.l.,XS2200172067,https://www.finanzen.net/anleihen/a28zw9-plt-vii-finance-sarl-anleihe,1000,8.561,4,Luxemburg,05-01-2026,98.29,Tradegate,15-01-2024,999.552904,0.085648
Sherwood Financing PLC,XS2010027535,https://www.finanzen.net/anleihen/a3kyhc-sherwood-financing-anleihe,1000,8.526,4,GB,15-11-2027,91.18,Tradegate,15-02-2024,921.143562,0.092559
Metalcorp Group S.A.,DE000A3KRAP3,https://www.finanzen.net/anleihen/a3krap-metalcorp-group-anleihe,1000,8.5,1,Luxemburg,28-06-2026,0.05,Baader Bank,28-05-2023,71.061644,1.196145
DTEK Renewables Finance B.V.,XS2069980246,https://www.finanzen.net/anleihen/a2r96p-dtek-renewables-finance-bv-anleihe,1000,8.5,2,Niederlande,12-11-2024,14.45,Quotrix,12-10-2023,183.157534,0.464081
Vallourec S.A.,XS2352739184,https://www.finanzen.net/anleihen/a3kttg-vallourec-anleihe,1,8.5,2,Frankreich,30-06-2026,94.15,Quotrix,15-09-2023,0.986445,0.086168
Dana Financing Luxembourg S.a.r.l.,XS2623489627,https://www.finanzen.net/anleihen/a3lhv8-dana-financing-luxembourg-sarl-anleihe,1000,8.5,2,Luxemburg,15-07-2031,109.01,Quotrix,15-01-2024,1106.634247,0.076809
INEOS Quattro Finance 2 PLC,XS2719090636,https://www.finanzen.net/anleihen/a3lq2a-ineos-quattro-finance-2-anleihe,1000,8.5,2,GB,15-03-2029,105.23,Lang & Schwarz,15-10-2023,1090.258904,0.077963
Novafives S.A.S.,XS1713466149,https://www.finanzen.net/anleihen/a19zhp-novafivess-anleihe,1000,8.44,4,Frankreich,15-06-2025,78.1,Tradegate,15-03-2024,783.543562,0.107716
Cirsa Finance International S.à.r.l.,XS2649696890,https://www.finanzen.net/anleihen/a3lk3m-cirsa-finance-international-sarl-anleihe,1000,8.412,4,Luxemburg,31-07-2028,101.25,Quotrix,30-01-2024,1025.406082,0.082036
DCM US Multi-Family Homes PLC,GB00BMHMP637,https://www.finanzen.net/anleihen/a285x7-dcm-us-multi-family-homes-anleihe,1000,8.4,4,GB,16-11-2025,100,Frankfurt,16-02-2024,1008.975342,0.083253
Conceria Pasubio S.p.A.,XS2389334124,https://www.finanzen.net/anleihen/a3kwln-conceria-pasubio-spa-anleihe,1000,8.393,4,Italien,30-09-2028,98.05,Lang & Schwarz,30-11-2023,1007.403589,0.083313
